slug,acronym,author,name,edition_date,country,pages,volume,shelf_number,dates,notes
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 8. BNF : LC5-138 (BG)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,8,BNF: LC5-138 (BG),,
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 9. BNF : LC5-138 (BG)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,9,BNF: LC5-138 (BG),,
Annales du commerce extérieur. Empire d'Allemagne. Faits commerciaux n° 36. BNF : LC5-138 (AH),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Empire d'Allemagne,,36,BNF: LC5-138 (AH),,
Annales du commerce extérieur. Empire d'Allemagne. Faits commerciaux n° 37. BNF : LC5-138 (AH),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Empire d'Allemagne,,37,BNF: LC5-138 (AH),,
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 11. BNF : LC5-138 (AA)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,11,BNF: LC5-138 (AA),,
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 13. BNF : LC5-138 (BM)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,13,BNF: LC5-138 (BM),,
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 14. BNF : LC5-138 (BM)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,14,BNF: LC5-138 (BM),,
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 18. BNF : LC5-138 (BM)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,18,BNF: LC5-138 (BM),,
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 5. BNF : LC5-138 (AA)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,5,BNF: LC5-138 (AA),,
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 7. BNF : LC5-138 (AA)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,7,BNF: LC5-138 (AA),,
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n°1. BNF : LC5-138 (AA)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,1,BNF: LC5-138 (AA),,
"Annales du commerce extérieur. Etats-Unis de Colombie. Faits commerciaux, n° 12. BNF : LC5-138 (AD)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats-Unis de Colombie,,12,BNF: LC5-138 (AD),,
"Annales du commerce extérieur. Etats-Unis de Colombie. Faits commerciaux, n° 13. BNF : LC5-138 (D)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats-Unis de Colombie,,13,BNF: LC5-138 (D),,
"Annales du commerce extérieur. Etats-Unis de Colombie. Faits commerciaux, n° 14. BNF : LC5-138 (D)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats-Unis de Colombie,,14,BNF: LC5-138 (D),,
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 1. BNF : LC5-138 (By)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,1,BNF: LC5-138 (BY),,
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 11. BNF : LC5-138 (By)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,11,BNF: LC5-138 (BY),,
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 12. BNF : LC5-138 (By)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,12,BNF: LC5-138 (BY),,
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 13. BNF : LC5-138 (By)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,13,BNF: LC5-138 (BY),,
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 14. BNF : LC5-138 (By)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,14,BNF: LC5-138 (BY),,
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 15. BNF : LC5-138 (By)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,15,BNF: LC5-138 (BY),,
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 2. BNF : LC5-138 (By)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,2,BNF: LC5-138 (BY),,
